,value,definition,codesystem,code,iri
10711,Fallopian tube carcinoma,Carcinoma that originates in the Fallopian tube. It may be located in the wall or within the lumen as a growth attached to the wall by a stalk.,HP,HP:0030394,http://purl.obolibrary.org/obo/HP_0030394
10712,Abnormal platelet granule secretion,"Platelets are replete with secretory granules, which are critical to normal platelet function. Among the three types of platelet secretory granules - alpha-granules, dense granules, and lysosomes - the alpha-granule is the most abundant. Granule contents must be released from their intracellular repository in order to achieve their physiologic function, and this term refers to a functional defect in granule secretion.",HP,HP:0030396,http://purl.obolibrary.org/obo/HP_0030396
10713,Abnormal platelet dense granule secretion,Abnormal release of dense granules from platelets.,HP,HP:0030397,http://purl.obolibrary.org/obo/HP_0030397
10714,Abnormal platelet ATP dense granule secretion,Abnormal secretion of the platelet dense-granule content adenosine triphosphate (ATP).,HP,HP:0030398,http://purl.obolibrary.org/obo/HP_0030398
10715,Abnormal platelet alpha granule secretion,Abnormal release of alpha granule contents from platelets.,HP,HP:0030399,http://purl.obolibrary.org/obo/HP_0030399
10716,Abnormal platelet lysosome secretion,Abnormal release of lysosome contents from platelets.,HP,HP:0030400,http://purl.obolibrary.org/obo/HP_0030400
10717,Abnormal platelet dense granule ATP/ADP ratio,Deviation from normal of the ratio of adenosine triphosphate (ATP) to adenosine diphosphate (ADP) within platelets.,HP,HP:0030401,http://purl.obolibrary.org/obo/HP_0030401
10718,Abnormal platelet aggregation,"An abnormality in the rate and degree to which platelets aggregate after the addition of an agonist that stimulates platelet clumping. Platelet aggregation is measured using aggregometer to measure the optical density of platelet-rich plasma, whereby platelet aggregation causes the plasma to become more transparent.",HP,HP:0030402,http://purl.obolibrary.org/obo/HP_0030402
10719,Spontaneous platelet aggregation,Clumping together of platelets in the blood in a platelet aggregation test without addition of agents normally used to induce aggregation.,HP,HP:0030403,http://purl.obolibrary.org/obo/HP_0030403
10720,Glucagonoma,An endocrine tumor of the pancreas that secretes excessive amounts of glucagon.,HP,HP:0030404,http://purl.obolibrary.org/obo/HP_0030404
10721,Pancreatic endocrine tumor,A neuroendocrine tumor originating in a hormone-producing cell (islet cell) of the pancreas.,HP,HP:0030405,http://purl.obolibrary.org/obo/HP_0030405
10722,Primary peritoneal carcinoma,"A type of cancer that originates in the peritoneum. It is to be distinguished from metastatic cancer of the peritoneum. Peritoneal cancer can occur anywhere in the abdominal space, and affects the surface of organs contained inside the peritoneum.",HP,HP:0030406,http://purl.obolibrary.org/obo/HP_0030406
10723,Pineocytoma,A type of pineal parenchymal cell neoplasm that is a mature well-differentiated tumour (WHO grade I).,HP,HP:0030407,http://purl.obolibrary.org/obo/HP_0030407
10724,Pineoblastoma,"Pineoblastoma is a rare primitive neuroectodermal tumour (PNET) arising in the pineal gland. Pineoblastomas are classified as a WHO grade IV tumour and comprise one-fourth to one-half of pineal parenchymal tumours. Pineoblastoma is a highly cellular tumor originating in the pineal gland and containing small, poorly differentiated cells.",HP,HP:0030408,http://purl.obolibrary.org/obo/HP_0030408
10725,Renal transitional cell carcinoma,A malignant tumor that arises from the transitional (urothelial) epithelial cells lining the urinary tract from the renal calyces to the ureteral orifice.,HP,HP:0030409,http://purl.obolibrary.org/obo/HP_0030409
10726,Sebaceous gland carcinoma,"A carcinoma that arises in a sebaseous gland (an exocrine gland of the skin that secretes sebum, a waxy substance)",HP,HP:0030410,http://purl.obolibrary.org/obo/HP_0030410
10727,Jejunal adenocarcinoma,A malignant epithelial tumor with a glandular organization that originates in the jejunum.,HP,HP:0030411,http://purl.obolibrary.org/obo/HP_0030411
10728,Ileal adenocarcinoma,A malignant epithelial tumor with a glandular organization that originates in the ileum.,HP,HP:0030412,http://purl.obolibrary.org/obo/HP_0030412
10729,Squamous cell carcinoma of the tongue,A carcinoma derived from a squamous epithelial cell of the tongue.,HP,HP:0030413,http://purl.obolibrary.org/obo/HP_0030413
10730,Verrucous cell carcinoma of the tongue,A low-grade variant of squamous cell carcinoma of the tongue with a warty (verrucous) appearance.,HP,HP:0030414,http://purl.obolibrary.org/obo/HP_0030414
10731,Sarcomatoid carcinoma of the tongue,"Sarcomatoid (spindle cell) carcinomas of the tongue is a variant of squamous carcinoma of tongue that is monoclonal, having evolved from a conventional squamous carcinoma with dedifferentiation associated with sarcomatoid transformation.",HP,HP:0030415,http://purl.obolibrary.org/obo/HP_0030415
10732,Vulvar neoplasm,A tumor (abnormal growth of tissue) of the female external genital tract (vulva).,HP,HP:0030416,http://purl.obolibrary.org/obo/HP_0030416
10733,Squamous cell carcinoma of the vulva,A cancer that originates in the squamous cells that line the surface of the vulva.,HP,HP:0030417,http://purl.obolibrary.org/obo/HP_0030417
10734,Vulvar melanoma,A type of vulvar cancer that originates from melanocytes of the vulva.,HP,HP:0030418,http://purl.obolibrary.org/obo/HP_0030418
10735,Bartholin gland carcinoma,"A cancer arising in a cell of the Bartholin gland, a racemose gland located slightly posterior to the opening of the vagina.",HP,HP:0030419,http://purl.obolibrary.org/obo/HP_0030419
10736,Vulvar adenocarcinoma,An adenocarcinoma arising in the vulva.,HP,HP:0030420,http://purl.obolibrary.org/obo/HP_0030420
10737,Epididymal neoplasm,"A tumor (abnormal growth of tissue) of the epididymis, an duct that transports spermatozoa from the testis to the vas deferens.",HP,HP:0030421,http://purl.obolibrary.org/obo/HP_0030421
10738,obsolete Papillary cystadenoma of the epididymis,,HP,HP:0030422,http://purl.obolibrary.org/obo/HP_0030422
10739,Splenic cyst,A closed sac located in the spleen.,HP,HP:0030423,http://purl.obolibrary.org/obo/HP_0030423
10740,Epididymal cyst,"A smooth, extratesticular, spherical cyst in the head of the epididymis.",HP,HP:0030424,http://purl.obolibrary.org/obo/HP_0030424
10741,Calcified ovarian cyst,A cyst of the ovary that exhibits deposition of calcium salts.,HP,HP:0030425,http://purl.obolibrary.org/obo/HP_0030425
10742,Ossifying fibroma,A benign central bone tumor composed of fibrous connective tissue within which bone is formed.,HP,HP:0030426,http://purl.obolibrary.org/obo/HP_0030426
10743,Ossifying fibroma of the jaw,A benign central bone tumor of the jaw composed of fibrous connective tissue within which bone is formed.,HP,HP:0030427,http://purl.obolibrary.org/obo/HP_0030427
10744,Cutaneous myxoma,A myxoma originating in the skin.,HP,HP:0030428,http://purl.obolibrary.org/obo/HP_0030428
10745,Juvenile nasopharyngeal angiofibroma,A benign but highly vascular nasopharyngeal neoplasm. The tumor originates from the sphenopalatine foramen and involves both the pterygopalatine fossa and the posterior nasal cavity.,HP,HP:0030429,http://purl.obolibrary.org/obo/HP_0030429
10746,Neuroma,A tumor made up of nerve cells and nerve fibers.,HP,HP:0030430,http://purl.obolibrary.org/obo/HP_0030430
10747,Osteochondroma,A cartilage capped bony outgrowth of a long bone. Osteochondroma arises on the external surface of bone containing a marrow cavity that is continuous with that of the underlying bone.,HP,HP:0030431,http://purl.obolibrary.org/obo/HP_0030431
10748,Chondroblastoma,A usually benign tumor composed of cells which arise from chondroblasts or their precursors and which tend to differentiate into cartilage cells.,HP,HP:0030432,http://purl.obolibrary.org/obo/HP_0030432
10749,Osteoid osteoma,A bening tumor of bone composed of a central zone named nidus which is an atypical bone completely enclosed within a well vascularized stroma and a peripheral sclerotic reaction zone.,HP,HP:0030433,http://purl.obolibrary.org/obo/HP_0030433
10750,Pilomatrixoma,"Pilomatricoma is an asymptomatic slowly growing benign cutaneous tumor, differentiating towards the hair matrix of the hair follicle. It is covered by normal or hyperemic skin, and usually varies in size from 0.5 to 3 cm.",HP,HP:0030434,http://purl.obolibrary.org/obo/HP_0030434
10751,Fibrofolliculoma,"Fibrofolliculoma is a clinically asymptomatic, 2-4 mm, skin-colored, dome-shaped smooth papule. It usually arises in the form of multiple lesions in adults in different areas such as the scalp, forehead, face, and neck. According to histology, the lesion is a fibrotic hamartoma characterized by infundibular epithelial proliferation and perifollicular fibrous proliferation.",HP,HP:0030436,http://purl.obolibrary.org/obo/HP_0030436
10752,Anal canal neoplasm,,HP,HP:0030437,http://purl.obolibrary.org/obo/HP_0030437
10753,Anal canal squamous cell carcinoma,A squamous cell carcinoma that originates in the anal canal.,HP,HP:0030438,http://purl.obolibrary.org/obo/HP_0030438
10754,Anal canal adenocarcinoma,An adenoma carcinoma that originates in the anal canal.,HP,HP:0030439,http://purl.obolibrary.org/obo/HP_0030439
10755,Anal margin neoplasm,A tumor of the anal margin.,HP,HP:0030440,http://purl.obolibrary.org/obo/HP_0030440
10756,Anal margin Paget's disease,"An intraepithelial adenocarcinoma originating in the anal margin and characterized by presence of typical Paget's cells, appearing as large rounded vacuolated cells.",HP,HP:0030441,http://purl.obolibrary.org/obo/HP_0030441
10757,Anal margin squamous cell carcinoma,A squamous cell carcinoma that originates in the skin of the anal margin.,HP,HP:0030442,http://purl.obolibrary.org/obo/HP_0030442
10758,Anal margin basal cell carcinoma,A basal cell carcinoma that originates in the anal margin.,HP,HP:0030443,http://purl.obolibrary.org/obo/HP_0030443
10759,Anal margin melanoma,A melanoma that originates in the anal margin.,HP,HP:0030444,http://purl.obolibrary.org/obo/HP_0030444
10760,Pulmonary carcinoid tumor,"A malignant neuroendocrine tumor of the lung. According to histopathologic criteria (WHO 2004), carcinoids are divided into four groups i.e. typical and atypical carcinoids, large cell neuroendocrine carcinoma and small cell lung carcinoma.",HP,HP:0030445,http://purl.obolibrary.org/obo/HP_0030445
10761,Atypical pulmonary carcinoid tumor,,HP,HP:0030446,http://purl.obolibrary.org/obo/HP_0030446
10762,Merkel cell skin cancer,"A malignant cutaneous tumor of the elderly that is characterized by an aggressive course with regional nodal involvement, distant metastases and a high rate of recurrence. Most patients present with rapidly growing, painless, firm, non-tender, dome-shaped red, occasionally ulcerated skin nodules, which have a red or bluish color, measuring up to several centimeters, on predominantly sun-exposed areas of the body. The overlying skin is smooth and shiny, sometimes exhibiting ulcerative, acneiform or telangiectatic features.",HP,HP:0030447,http://purl.obolibrary.org/obo/HP_0030447
10763,Soft tissue sarcoma,"A type of sarcoma (A connective tissue neoplasm formed by proliferation of mesodermal cells) that develops from soft tissues like fat, muscle, nerves, fibrous tissues, blood vessels, or deep skin tissues.",HP,HP:0030448,http://purl.obolibrary.org/obo/HP_0030448
10764,Therapeutic abortion,Delivery by means of therapeutic termination of pregnancy. Therapeutic abortion may be done to end a pregnancy if the mother's life is in danger or if the baby has abnormalities involving the major organ systems and is not expected to survive after birth or by choice.,HP,HP:0030449,http://purl.obolibrary.org/obo/HP_0030449
10765,Neuroplasm of the autonomic nervous system,A tumor that arises from an element of the autonomic nervous system.,HP,HP:0030450,http://purl.obolibrary.org/obo/HP_0030450
10766,Mesenteric cyst,A closed fluid filled sac originating from the mesentary.,HP,HP:0030451,http://purl.obolibrary.org/obo/HP_0030451
10767,Chylolymphatic mesenteric cyst,A type of mesenteric cyst that is lined with a thin endothelium or mesothelium and filled with chylous and lymphatic fluid.,HP,HP:0030452,http://purl.obolibrary.org/obo/HP_0030452
10768,Abnormal visual electrophysiology,,HP,HP:0030453,http://purl.obolibrary.org/obo/HP_0030453
